"filename", "language", "Dart", "comment", "blank", "total"
"d:\Flutter\old_version\lib\view\buying\buying_screen.dart", "Dart", 16, 0, 3, 19
"d:\Flutter\old_version\lib\view\buying\components\buying_table_view.dart", "Dart", 139, 29, 5, 173
"d:\Flutter\old_version\lib\view\buying\components\buying_text_field.dart", "Dart", 128, 1, 7, 136
"d:\Flutter\old_version\lib\view\buying\components\custom_dropdown_buying.dart", "Dart", 99, 2, 5, 106
"d:\Flutter\old_version\lib\view\buying\mobile\buying_screen_mobile.dart", "Dart", 295, 4, 3, 302
"d:\Flutter\old_version\lib\view\buying\mobile\view_buying_details_screen_mobile.dart", "Dart", 63, 0, 3, 66
"d:\Flutter\old_version\lib\view\buying\windows\add_buying\add_buying_table.dart", "Dart", 46, 0, 3, 49
"d:\Flutter\old_version\lib\view\buying\windows\buying_screen_windows.dart", "Dart", 298, 4, 3, 305
"d:\Flutter\old_version\lib\view\buying\windows\view_buying\view_buying_table.dart", "Dart", 172, 1, 5, 178
"d:\Flutter\old_version\lib\view\buying\windows\view_details\view_buying_details_screen.dart", "Dart", 153, 0, 3, 156
"d:\Flutter\old_version\lib\view\cashier\cashier_screen.dart", "Dart", 135, 10, 14, 159
"d:\Flutter\old_version\lib\view\cashier\mobile\cashier_screen_mobile.dart", "Dart", 130, 2, 3, 135
"d:\Flutter\old_version\lib\view\cashier\mobile\components\bottom_cashier_buttons.dart", "Dart", 354, 0, 3, 357
"d:\Flutter\old_version\lib\view\cashier\mobile\components\custom_payment_dialog_mobile.dart", "Dart", 156, 6, 9, 171
"d:\Flutter\old_version\lib\view\cashier\mobile\components\footer_details_widget.dart", "Dart", 103, 6, 6, 115
"d:\Flutter\old_version\lib\view\cashier\mobile\components\pending_carts_mobile.dart", "Dart", 149, 0, 3, 152
"d:\Flutter\old_version\lib\view\cashier\mobile\components\search_widget_mobile.dart", "Dart", 63, 1, 3, 67
"d:\Flutter\old_version\lib\view\cashier\mobile\components\table_widget.dart", "Dart", 45, 0, 4, 49
"d:\Flutter\old_version\lib\view\cashier\windows\action\cashier_right_side.dart", "Dart", 210, 5, 3, 218
"d:\Flutter\old_version\lib\view\cashier\windows\action\components\custom_cashier_dialog.dart", "Dart", 74, 0, 3, 77
"d:\Flutter\old_version\lib\view\cashier\windows\action\components\custom_diplay_users.dart", "Dart", 157, 2, 7, 166
"d:\Flutter\old_version\lib\view\cashier\windows\action\components\export_pdf_dialog.dart", "Dart", 109, 0, 2, 111
"d:\Flutter\old_version\lib\view\cashier\windows\action\components\payment_dialog.dart", "Dart", 188, 3, 4, 195
"d:\Flutter\old_version\lib\view\cashier\windows\action\components\show_last_invoices.dart", "Dart", 85, 0, 3, 88
"d:\Flutter\old_version\lib\view\cashier\windows\view\cashier_left_side_screen.dart", "Dart", 158, 7, 8, 173
"d:\Flutter\old_version\lib\view\cashier\windows\view\components\cashier_drop_down.dart", "Dart", 66, 0, 4, 70
"d:\Flutter\old_version\lib\view\cashier\windows\view\components\cashier_table_rows.dart", "Dart", 164, 0, 5, 169
"d:\Flutter\old_version\lib\view\cashier\windows\view\components\custom_grid_data_view.dart", "Dart", 254, 6, 5, 265
"d:\Flutter\old_version\lib\view\cashier\windows\view\components\custom_pending_cart.dart", "Dart", 135, 0, 3, 138
"d:\Flutter\old_version\lib\view\cashier\windows\view\components\display_quantity_field.dart", "Dart", 70, 4, 3, 77
"d:\Flutter\old_version\lib\view\cashier\windows\view\components\search_box_widget.dart", "Dart", 22, 0, 3, 25
"d:\Flutter\old_version\lib\view\cashier\windows\view\components\show_drop_down_items_dialog.dart", "Dart", 155, 0, 5, 160
"d:\Flutter\old_version\lib\view\categories\catagories_screen.dart", "Dart", 19, 0, 3, 22
"d:\Flutter\old_version\lib\view\categories\mobile\add_categories_mobile.dart", "Dart", 55, 0, 3, 58
"d:\Flutter\old_version\lib\view\categories\mobile\categories_screen_mobile.dart", "Dart", 129, 1, 3, 133
"d:\Flutter\old_version\lib\view\categories\windows\add_catagories_widget.dart", "Dart", 53, 0, 3, 56
"d:\Flutter\old_version\lib\view\categories\windows\categries_screen_windows.dart", "Dart", 84, 2, 3, 89
"d:\Flutter\old_version\lib\view\categories\windows\edit_categories_screen.dart", "Dart", 58, 0, 3, 61
