"filename", "language", "Dart", "comment", "blank", "total"
"d:\Flutter\old_version\lib\view\import_export\desktop\import\import_screen.dart", "Dart", -87, -5, -4, -96
"d:\Flutter\old_version\lib\view\import_export\desktop\import\import_search_widget.dart", "Dart", -222, 0, -3, -225
"d:\Flutter\old_version\lib\view\import_export\desktop\import\import_table_widget.dart", "Dart", -180, -14, -6, -200
"d:\Flutter\old_version\lib\view\import_export\import_export_screen.dart", "Dart", -18, 0, -4, -22
"d:\Flutter\old_version\lib\view\import_export\mobile\export\export_add_widget_mobile.dart", "Dart", -120, 0, -3, -123
"d:\Flutter\old_version\lib\view\import_export\mobile\export\export_screen_mobile.dart", "Dart", -58, 0, -4, -62
"d:\Flutter\old_version\lib\view\import_export\mobile\export\export_search_widget_mobile.dart", "Dart", -178, 0, -3, -181
"d:\Flutter\old_version\lib\view\import_export\mobile\import\import_add_widget_mobile.dart", "Dart", -112, 0, -3, -115
"d:\Flutter\old_version\lib\view\import_export\mobile\import\import_screen_mobile.dart", "Dart", -106, 0, -4, -110
"d:\Flutter\old_version\lib\view\import_export\mobile\import\import_search_widget_mobile.dart", "Dart", -173, 0, -3, -176
"d:\Flutter\old_version\lib\view\import_export\shared\custom_drop_down_impexp.dart", "Dart", -116, -1, -5, -122
"d:\Flutter\old_version\lib\view\import_export\shared\custom_expansion_tile.dart", "Dart", -67, 0, -3, -70
"d:\Flutter\old_version\lib\view\import_export\shared\edit_import_export.dart", "Dart", -114, 0, -4, -118
"d:\Flutter\old_version\lib\view\inventory\windows\inventory_screen_windows.dart", "Dart", -3, 0, 0, -3
"d:\Flutter\old_version\lib\view\items\items_add_screen.dart", "Dart", 14, 0, 3, 17
"d:\Flutter\old_version\lib\view\items\items_edit_screen.dart", "Dart", 14, 0, 3, 17
"d:\Flutter\old_version\lib\view\items\items_screen.dart", "Dart", 137, 0, 1, 138
"d:\Flutter\old_version\lib\view\items\items_view_screen.dart", "Dart", 17, 0, 3, 20
"d:\Flutter\old_version\lib\view\items\mobile\add_items_screen_mobile.dart", "Dart", -27, 0, -3, -30
